Name,ConvertedName
ALLEY,ALY
ALLEE,ALY
ALLY,ALY 
ANNEX,ANX 
ANEX,ANX
ARCADE,ARC 
AVENUE,AVE 
AV,AVE
BAYOO,BYU 
BAYOU,BYU
BEACH,BCH 
BEND,BND
BLUFF,BLF 
BLUFFS,BLFS
BOTTOM,BTM
BOT,BTM
BOULEVARD,BLVD 
BOUL,BLVD
BRANCH,BR 
BRIDGE,BRG
BROOK,BRK 
BROOKS,BRKS
BURG,BG
BURGS,BGS
BYPASS,BYP 
BYPA,BYP
CAMP,CP
CMP,CP
CANYON,CYN
CANYN,CYN 
CNYN,CYN
CAPE,CPE
CAUSEWAY,CSWY
CENTER,CTR
CEN,CTR 
CENT,CTR
CENTR,CTR
CENTRE,CTR
CNTER,CTR
CNTR,CTR
CENTERS,CTRS
CIRCLE,CIR 
CIRC,CIR
CIRCL,CIR
CRCL,CIR
CRCLE,CIR
CIRCLES,CIRS
CLIFF,CLF 
CLIFFS,CLFS 
CLUB,CLB 
COMMON,CMN
CORNER,COR 
CORNERS,CORS
COURSE,CRSE
COURT,CT
CRT,CT
COURTS,CTS
COVE,CV
COVES,CVS
CREEK,CRK
CRESCENT,CRES
CRECENT,CRES
CRESENT,CRES
CRSCNT,CRES
CRSENT,CRES
CRSNT,CRES
CREST,CRST
CROSSING,XING
CRSSING,XING
CRSSNG,XING
CROSSROAD,XRD
CURVE,CURV
DALE,DL
DAM,DM
DIVIDE,DV
DIV,DV
DVD,DV
DRIVE,DR 
DRIV,DR
DRV,DR
DRIVES,DRS
ESTATE,EST 
ESTATES,ESTS
EXPRESSWAY,EXPY
EXP,EXPY
EXPRESS,EXPY
EXPW,EXPY
EXTENSION,EXT 
EXTN,EXT
EXTNSN,EXT
EXTENSIONS,EXTS
FALLS,FLS
FERRY,FRY
FRRY,FRY
FIELD,FLD
FIELDS,FLDS
FIELDS,FLDS 
FLAT,FLT
FLATS,FLTS
FORD,FRD
FORDS,FRDS
FOREST,FRST
FORESTS,FRST
FORGE,FRG
FORG,FRG
FORGES,FRGS
FORK,FRK
FORKS,FRKS
FORT,FT
FRT,FT
FREEWAY,FWY
FREEWY,FWY
FRWAY,FWY
FRWY,FWY
GARDEN,GDN
GARDN,GDN
GRDEN,GDN
GRDN,GDN
GARDENS,GDNS
GRDNS,GDNS
GATEWAY,GTWY
GATWAY,GTWY
GTWAY,GTWY
GLEN,GLN
GLENS,GLNS
GREEN,GRN
GREENS,GRNS
GROVE,GRV
GROV,GRV
GROVES,GRVS
HARBOR,HBR
HARB,HBR
HARBR,HBR
HRBOR,HBR
HARBORS,HBRS
HAVEN,HVN
HAVN,HVN
HEIGHTS,HTS
HEIGHT,HTS
HGTS,HTS
HIGHWAY,HWY
HIGHWY,HWY
HIWAY,HWY
HIWY,HWY
HWAY,HWY
HILL,HL
HILLS,HLS
HOLLOW,HOLW
HLLW,HOLW
HOLLOWS,HOLW
HOLWS,HOLW
INLET,INLT
ISLAND,IS 
ISLND,IS
ISLANDS,ISS
ISLNDS,ISS
ISLES,ISLE
JUNCTION,JCT 
JCTION,JCT
JCTN,JCT
JUNCTN,JCT
JUNCTON,JCT
JUNCTIONS,JCTS
JCTNS,JCTS
KEY,KY
KEYS,KYS
KNOLL,KNL 
KNOL,KNL
KNOLLS,KNLS 
LAKE,LK
LAKES,LKS
LANDING,LNDG
LNDNG,LNDG
LANE,LN
LA,LN
LANES,LN
LIGHT,LGT 
LIGHTS,LGTS
LOAF,LF 
LOCK,LCK 
LOCKS,LCKS 
LODGE,LDG 
LDGE,LDG
LODG,LDG
LOOPS,LOOP
MANOR,MNR
MANORS,MNRS
MEADOW,MDW 
MEADOWS,MDWS 
MEDOWS,MDWS
MILL,ML
MILLS,MLS
MISSION,MSN
MISSN,MSN
MSSN,MSN
MOTORWAY,MTWY
MOUNT,MT
MNT,MT
MOUNTAIN,MTN
MNTAIN,MTN
MNTN,MTN
MOUNTIN,MTN
MTIN,MTN
MOUNTAINS,MTNS
MNTNS,MTNS 
NECK,NCK 
ORCHARD,ORCH 
ORCHARD,ORCH
ORCHRD,ORCH
OVL,OVAL
OVERPASS,OPAS
PK,PARK
PRK,PARK
PARKS,PARK
PARKWAY,PKWY
PARKWY,PKWY
PKWAY,PKWY
PKY,PKWY
PARKWAYS,PKWY
PKWYS,PKWY
PASSAGE,PSGE
PATHS,PATH
PIKES,PIKE
PINE,PNE
PINES,PNES
PLACE,PL 
PLAIN,PLN
PLAINS,PLNS
PLAINES,PLNS
PLAZA,PLZ
PLZA,PLZ
POINT,PT
POINTS,PTS
PORT,PRT
PORTS,PRTS
PRAIRIE,PR 
PRARIE,PR
PRR,PR
RADIAL,RADL
RAD,RADL
RADIEL,RADL
RANCH,RNCH
RANCHES,RNCH
RNCHS,RNCH
RAPID,RPD
RAPIDS,RPDS
REST,RST
RIDGE,RDG 
RDGE,RDG
RIDGES,RDGS 
RIVER,RIV 
RIVR,RIV
RVR,RIV
ROAD,RD 
ROADS,RDS 
ROUTE,RTE
SHOAL,SHL 
SHOALS,SHLS
SHORE,SHR
SHOAR,SHR 
SHORES,SHRS
SHOARS,SHRS
SKYWAY,SKWY
SPRING,SPG 
SPNG,SPG
SPRNG,SPG
SPRINGS,SPGS 
SPNGS,SPGS
SPRNGS,SPGS
SPURS,SPUR
SQUARE,SQ 
SQR,SQ
SQRE,SQ
SQU,SQ
SQUARES,SQS
SQRS,SQS
STATION,STA 
STATN,STA
STN,STA
STRAVENUE,STRA 
STRAV,STRA
STRAVE,STRA
STRAVEN,STRA
STRAVN,STRA
STRVN,STRA
STRVNUE,STRA
STREAM,STRM
STREME,STRM 
STREET,ST 
STR,ST
STRT,ST
STREETS,STS
SUMMIT,SMT 
SUMIT,SMT
TERRACE,TER 
TERR,TER
THROUGHWAY,TRWY
TRACE,TRCE
TRACES,TRCE
TRACK,TRAK
TRACKS,TRAK
TRK,TRAK
TRKS,TRAK
TRAFFICWAY,TRFY
TRAIL,TRL
TR,TRL
TRAILS,TRL
TRLS,TRL
TUNNEL,TUNL
TUNEL,TUNL
TUNLS,TUNL
TUNNELS,TUNL
TUNNL,TUNL
TURNPIKE,TKPE
TPK,TPKE
TRNPK,TPKE
TRPK,TPKE
TURNPK,TPKE
UNDERPASS,UPAS
UNION,UN 
UNIONS,UNS
VALLEY,VLY
VALLY,VLY
VLLY,VLY
VALLEYS,VLYS
VIADUCT,VIA
VDCT,VIA
VIADCT,VIA
VIEW,VW
VIEWS,VWS
VILLAGE,VLG
VILL,VLG
VILLAG,VLG
VILLG,VLG
VILLIAGE,VLG
VILLAGES,VLGS
VILLE,VL
VISTA,VIS 
VIST,VIS
VST,VIS
VSTA,VIS
WALKS,WALK
WY,WAY
WELL,WL
WELLS,WLS
APARTMENT,APT
BASEMENT,BSMT
BUILDING,BLDG
DEPARTMENT,DEPT
FLOOR,FL
FRONT,FRNT
HANGAR,HNGR
LOBBY,LBBY
LOT,LOT
LOWER,LOWR
OFFICE,OFC
PENTHOUSE,PH
PIER,PIER
REAR,REAR
ROOM,RM
SIDE,SIDE
SLIP,SLIP
SPACE,SPC
STOP,STOP
SUITE,STE
TRAILER,TRLR
UNIT,UNIT
UPPER,UPPR
